candidate_id,overall_score,skill_score,experience_score,career_score,behavior_score,industry_score,assessment_score,risk_penalty,recommendation,strengths,concerns
CAND_0046525,82.65,73.33,100.0,100,100.0,60,96.5,0,Shortlist,Strong technical skill match; Experience aligns with job requirements; Stable career progression; Positive recruiter engagement,
CAND_0039754,79.25,80.0,64.0,100,100.0,60,96.5,0,Shortlist,Strong technical skill match; Stable career progression; Positive recruiter engagement,
CAND_0046064,79.12,73.33,100.0,100,98.1,60,64.1,0,Shortlist,Strong technical skill match; Experience aligns with job requirements; Stable career progression; Positive recruiter engagement,
CAND_0090584,78.95,73.33,100.0,100,100.0,60,67.0,15,Shortlist,Strong technical skill match; Experience aligns with job requirements; Stable career progression; Positive recruiter engagement,
CAND_0009516,78.09,76.67,100.0,100,99.46,60,41.7,0,Shortlist,Strong technical skill match; Experience aligns with job requirements; Stable career progression; Positive recruiter engagement,
CAND_0040887,77.18,66.67,94.0,100,100.0,60,70.8,0,Shortlist,Experience aligns with job requirements; Stable career progression; Positive recruiter engagement,Missing important required skills
CAND_0018653,77.04,83.33,100.0,100,54.3,60,79.0,0,Shortlist,Strong technical skill match; Experience aligns with job requirements; Stable career progression,Behavioral profile could be stronger
CAND_0002120,77.0,63.33,100.0,100,100.0,60,75.0,10,Shortlist,Experience aligns with job requirements; Stable career progression; Positive recruiter engagement,Missing important required skills
CAND_0007567,76.97,60.0,100.0,100,100.0,60,79.7,0,Shortlist,Experience aligns with job requirements; Stable career progression; Positive recruiter engagement,Missing important required skills
CAND_0043318,76.67,73.33,100.0,100,100.0,60,49.2,25,Shortlist,Strong technical skill match; Experience aligns with job requirements; Stable career progression; Positive recruiter engagement,
CAND_0054123,76.37,63.33,94.0,100,100.0,60,77.75,10,Shortlist,Experience aligns with job requirements; Stable career progression; Positive recruiter engagement,Missing important required skills
CAND_0081480,76.22,60.0,100.0,100,97.04,60,76.6,0,Shortlist,Experience aligns with job requirements; Stable career progression; Positive recruiter engagement,Missing important required skills
CAND_0014909,76.12,60.0,96.0,100,100.0,60,84.7,15,Shortlist,Experience aligns with job requirements; Stable career progression; Positive recruiter engagement,Missing important required skills
